id	darija	loan_words_list
2108	wach fayt kliti fdik restora	restora
2115	bghit chi Tbla 7da chrjem	Tbla
2116	bghit ndowwer l mirikan	mirikan
2130	kayna wahd resTora lhih walakin makanDench zwina	resTora
2142	bghiti tferrej f tlfaza	tlfaza
2151	wach wSlek l email dyali	email
2160	wach kat9ra l anglais	anglais
2190	kanhder chwia bl anglais	anglais
2204	wladna fl mirikan	mirikan
2207	had tomobil katchbeh l tomobilti	tomobil, tomobilti
2216	achnahoa a7san film 3ndk	film
2220	fin t3llmti l anglais	anglais
2228	kathder l anglais mzyan	anglais
2229	fayt chayf had l film	film
2231	wach l banka b3ida	banka
2239	3ndk nnmra dyal chi taxi	nnmra, taxi
2248	bghit nchri wahd la carte dyal tilifon 3afak	carte, tilifon
2274	kayn chi wahd 8na kayhder bl anglais	anglais
2282	kifach katgolo liha bl anglais	anglais
2292	ntla9aw gddam loTil	loTil
2294	3afak hder bl anglais	anglais
2313	drt ksida	ksida
2315	3ndi w7da f Tomobil	Tomobil
2316	gaddit had l kika	kika
2328	lksida w93at fin mla9yin Tro9an	lksida
2329	w93at wahd lksida dyal tomobilat	lksida, tomobilat
2333	fin jat lbosTa	lbosTa
2344	mora lbanka	lbanka
2360	wach 3rfti fin n9der nakhod taxi	taxi
2402	fin n9dr nkri chi Tomobil	Tomobil
2420	wakha t7TT lia hadi f Tomobil	Tomobil
2429	wach kay3jbek tfrrej f tlfaza	tlfaza
2433	ch7al mn sa3a f ssimana katkhdem	ssimana
2515	wach hada Tobis lli tayddi l Koutoubia	Tobis
2521	ghaykhss 2 tsway3 b Tomobil	Tomobil
2526	bghit nsifT hadchi l mirikan	mirikan
2541	sm7 lia ma3ndich stylo	stylo
2542	dimari tomobil	dimari, tomobil
2544	dik tomobila lli lhih rah dyali	tomobila
2548	tomobil tSawbat	tomobil
2554	hadok rrjal kayhdro bl anglais	anglais
2555	achmn loun dik tomobil	tomobil
2560	fin jat blaka t Tobis	blaka, Tobis
2659	ma7dd makaTlebch mni tfaraj f kora o tsakhen pizza mjamda	pizza
2730	 khrajtha man sac dyalk mli makntich katchouf	sac
2785	wach t9dr dir lia kika dyal frota wtzaw9ha btlj	kika, frota
2787	achmn dissir bghiti	dissir
2808	3andi aghlabya t nnas f email o hadi ghatkoun assra3 Tari9a	email
