id	darija	loan_words_list
2143	wach nta mirikani	mirikani
2235	imta ghaybda lfilm	lfilm
2242	wach katl3eb l basket	basket
2482	hoa mirikani	mirikani
2738	kan kays7ablik ana ma3arfach ach kan hoa o Martin kaydiro mli kaygolia bli kayla3bo l basket	basket
3386	khaliti tonobil flkhdma	tonobil
3414	wach imkan liya nkri bit ola n reservi chi bar	reservi, bar
3507	imkan lina nblaniw chi jtima3	nblaniw
4232	idan ah fi3lan 39lt 3la lfilm lghabi dyalk	lfilm
4504	imkan lina nblaniw bach nb9a nt3cha m3akom	nblaniw
5415	bach njik direct	direct
6148	ah kanDn kayn chi sandwichat	sandwichat
6624	ana mirikani	mirikani
7397	8ad lfilm momill	lfilm
7398	ma3jebnich 8ad lfilm	lfilm
7508	8owwa mirikani	mirikani
8050	ghandir master	master
11105	tonobil lli 7amra ghaliya	tonobil
11333	lbar7 mchit lconcert	lconcert
11345	3ad rkht f tonobil	tonobil
11353	anl3b basket m3a s7abi	basket
11583	ma5ay5demch liya had lblan	lblan
11600	ljomhour 3ejbou lfilm	lfilm
11716	3ytou 3liya lcoumissariat	lcoumissariat
11739	lcouzina 5assha t3awed	lcouzina 
11821	3jebna lfilm	lfilm
11840	tonobil ksirat fl autorout	tonobil, ksirat, autorout
11871	lmecanissyan sweb lmotor dial tonobil	lmecanissyan, lmotor, tonobil
11872	lmohandiss sweb lblan dial 3imara jdida hrbana	lblan
11880	lcliane 9eleb lproduit msian	lcliane, lproduit
11890	taman kan howa hadak m3a lqualite dial lproduit	lqualite, lproduit
11895	taman kan da5el fih tamand dial lproduit ou dariba	lproduit
11896	had lrpoduit kan bdebt dkchi li ba5i lclyan	lproduit, lclyan
11901	3la lqualite dial lproduit tchrih bhad taman ra chi 7aja herbana	lproduit
11918	tackle dial lmodafi3 jbed bit mn chebka	bit
11982	chti lfilm la5er 	lfilm
12094	lfilm 5aybda m3a seba dial l3chiya	lfilm
12098	katyeb cookies flcouzina	cookies, flcouzina
12121	kayblaniw l7efla	kayblaniw
12132	kayseweb wa7d tonobil	tonobil
12142	meblanin ychoufou wa7ed lfilm flil	meblanin, lfilm
12232	achnahowa lfilm li t3ya matfrej fih dima 9atelk bde7k 	lfilm
12250	ch7al ou ana kanjreb ntyeb walakin kant3eda 3la lcouzina	lcouzina 
12276	yallah nblaniw chi lila nadya blmantat ou lmakla ou chi aflam	nblaniw, lmantat, aflam
12299	yallah nblaniw nhar ndirou fih ga3 dkchi li kan ki3jbna f s5or	nblaniw
12306	aji nblaniw chi safaria dial nhar l chi mdina 9riba nktachfouha	nblaniw
12399	kifach ki3jbk trini 	trini
12400	chnou lfilm li tbghi t3awed tfrj fih mn lewel 	lfilm
12454	makrehtch koun mchit lconcert kikan ljew	lconcert
12477	makrehtch chi nhar nzour japon	japon
12483	tickeyat dial lconcert salaw de5ya	tickeyat, lconcert
12489	chti hadak lfilm jdid 	lfilm
12495	kan 5assni nchri tickeyat dial lconcert 9bel	tickeyat, lconcert
12532	t9der tchouf taman taman dial lhad lproduit 	lproduit
