id	darija	loan_words_list
2	loTilat mabaynach fihom mori7in bzzaf.	loTilat
6	ara lia dak sac.	sac
11	ssimana jjaya, nhar lkhmis	ssimana
14	wakha, ala 3ndi ay as2ila, wach nsifthom lik f email?	email
27	w f7alat w93at ksida ach khssna ndiro?	ksida
41	rah ghatjowwej simana jjayya.	simana
50	maghanTyyboch makla Talyania	Talyania
54	bghiti bTaTa frit m3ahom, ta8ia?	frit
92	walakin hia matatchrebch l98wa, o matatkmich, dakchi 3lach katgles fl biro.	biro
153	wach momkin lik tzidni chwia tlwe9t, goul chi joj simanat hakkak?	simanat
183	ghaykhssek t3ref lkouzina mzyan olla ghat3TTlna kamlin	lkouzina
214	l7aja lwa7ida li kanTlb mnnek tdirha hia tchedd l9r3a t rrouj	rrouj
221	bllati n9lleb l parachute wach gadd i8ezz joj tnnas	parachute
228	walakin malk katmechcha o labs l parachute?	parachute
234	ghan8Dro 3la lksida dyalna fl jara2id	lksida
244	ghan3awd nch3el tilifoni 3awtani	tilifoni
252	wayeeh, fchkel, tayban b7ala lmoTour khasr	lmoTour
262	kan9tare7 naklo lfrmaj bl forchiTa	lfrmaj, forchiTa
263	n9dro hir ndowro l taxi?	taxi
264	3rft annakom kathdro 3la lframj	lframj
267	wa homa ga3 gueddo itniw lfrchiTa dyali	lfrchiTa
269	lil2asaf, dyali hi forchiTa 3adia.	forchiTa
273	oh, imken 3ndi lforchiTa zzayda	lforchiTa
275	kat9Sed anna rri7a jayya mn lkado dyalk?	lkado
281	blkhariTa knna dghya ghal9aw asra3 Tri9 l a7san restora f ssikteur.	restora, ssikteur
283	wa o dok l kadowat lli 3Tawna?	kadowat
287	jat mkllkha annak tkhser onta 3ndk karTa zwina!	karTa
288	chmn carte guichet 3lach bitina nkhdmo?	carte guichet
291	mazal machft l ostad tl fizik	fizik
293	ma3rftich wach l ostad tl fizik kayn 8na lyoum?	fizik
296	wayeh, 3chrani mblokyin	mblokyin
297	kanDenn kolchi 3ndo machakil m3a transport	transport
302	kan 3ndk l7e99 fach khditi Tomobil	Tomobil
304	jit f Tomobil lyoma bach ntfada Tobisat.	Tomobil, Tobisat
306	mcha 3lia Tobis	Tobis
309	chokran a madame, wakha nsini wr9a tl7oDor hia lowla?	madame
327	hadchi komik	komik
334	daba ndirha ssimana jjaya	ssimana
335	walakin makankhdmch mzyan flkher t simana	simana
341	ewa kijawk ttamarin tl maths?	maths
347	salam madame.	madame
378	o dikssa3 khdit ssansour bach n9essi	ssansour
383	kanDenn annho mbloki o ghaybdaw ijerroh llte7t mn daba chwia	mbloki
386	hani kan7awel nsift message l dak lli khddam m3aya fl biro.	message, biro
397	lyoma ghatwerrini kifach maddir tta haja mnghir annak tgles 7da la piscine nnhar kaml	la piscine
399	khllina galsin 8na 7da lapisin	lapisin
403	had lprogram msllekni	lprogram
405	m3a dik 100 drhem lli b9at lik fl compte bo7dha, tana hadchi lli tantmenna lik	compte
407	hadi lmerra ttalta lli kaykhsr fiha ssansour had joj simanat llkhrin	ssansour, simanat
414	hir nkhrjo mn ssansour, ghantwaSl m3ahom	ssansour
415	lfikra hia nchofo ach ddar, o nfhmo 3lach ssansour khsr mrra khra	ssansour
418	akhir mrra 7awlt b tilifoni walakin makanch ssinyal o dak l boton dyal lalarm makhdmch	tilifoni, ssinyal, boton, lalarm
419	aji njerrbo l boutoun t lalarm.	boutoun, lalarm
428	chfti wach tilifonk chedd rrizo?	tilifonk, rrizo
430	mahazzch m3aya tilifon.	tilifon
431	3ndi secretaire lli taddir hadchi.	secretaire
448	dayra b7al chi tilifon fl7iT	tilifon
450	imken tchouf f tilifon dyalk.	tilifon
452	mohim, fi3lan, had lboutoun l7mr lkbir kayban zwin	lboutoun
470	kan7ess b7ala makayn 7tta sinyal 8na.	sinyal
500	fach ghankhrjo mn Tri9, ghanmchiw l sikteur dyal l7ayawanat	sikteur
514	ghaykhess tkhellina noslo lwad, o rah lwad dayz mn l vilaj	vilaj
