id	darija	loan_words_list
0	homa mkhbbyin chi haja, ana mti99en!	
1	bayna homa tay7awlo ib9aw mbrrdin.	
2	loTilat mabaynach fihom mori7in bzzaf.	loTilat
3	ghaliban ghayjrriw 3lih mn lkhdma!	
4	Tab3an rah mkta2eb!	
5	tayballia ghanmchi!	
6	ara lia dak sac.	sac
7	ghanmreD!	
8	knt dima 3arf annaha bghatna nmoutou	
9	bghit n3ref ch7al b9a lia tlwe9t bach n9ra	
10	ghaykon 3ndna mti7an, ala hadchi lli 9Sedti	
11	ssimana jjaya, nhar lkhmis	ssimana
12	ghanghTTiw ga3 lmawad tal tlat jjay	
13	ewa bda l9raya bkri!	
14	wakha, ala 3ndi ay as2ila, wach nsifthom lik f email?	email
15	walakin ghanjawb 3lihom fl aw9at t lkhdma	
16	idan 3afak matsifthomch m3TTel nhar larb3 bl3chia	
17	chokran, a lalla	
18	ach kay3ni hadchi?	
19	kifach ktabk ghay3awnni nt8dden	
20	tan8Dr 3la mrrakch	
21	bjojna tankhafo mn TTayaran	
22	awlla!	
23	o mnimta bssalama nn3as kan kay3awen chi wahd?!	
24	knt 3arfha!	
25	a rebbi!	
26	hadchi kollo lghalaT dyalk	
27	w f7alat w93at ksida ach khssna ndiro?	ksida
28	lach jbti m3ak chjra l Tyyara?!	
29	wach nti 7m9a!	
30	tan9tar7 annak tsm3 ktr o thdr 9ell	
31	khssni nmchi daba	
32	o ch7al hada bach nta mkellef?	
33	glt lik lkrafs, wach matatsme3ch	
34	wakha nzid chi bou3wid tahoa?	
35	layskher, ana m3ak	
36	wa rah 3chr snin hadi	
37	ach bghiti m3ah?	
38	3afak wakha tsedd chrjem m3ak	
39	wa hir tl9na o baraka mn l8Dra	
40	wach matatfkkerch?	
41	rah ghatjowwej simana jjayya.	simana
42	tjowwjo Sghar bzzaf	
43	hoa mjowwej b mo7amia mn Tanja	
44	matgolch	
45	daba kaydowwez bzzaf tlwe9t fddar	
46	ala kan hadchi lli kat9Sed	
47	3aadatan ghaytghlaw wit7eTTo m3a lkhell	
48	gddach?	
49	wach kbir?	
50	maghanTyyboch makla Talyania	Talyania
51	hada ghaykon Taba9 mghribi 7orr	
52	lbarba zwina, walakin t9dr t3Tik wa7d lmada9 7lou	
53	TTwal b Tabi3t l7al	
54	bghiti bTaTa frit m3ahom, ta8ia?	frit
55	o ach ballik nmchiw l cinema?	
56	ma3ada ala 3ndk chi haja khra bghiti tzid8a	
57	tberre3 lia m3a rask!	
58	matreddedch trje3 3ndi	
59	daba tayballia 3ndi ga3 dakchi lli tan7taj bach n7ell had lmochkil	
60	knt ghan9tare7 hadchi ta8owa	
61	khllini ngollik wa7d l7aja	
62	b3d lmrrat tanD7ko b3d lmrrat tanbkiw	
63	ghangollik wahd lhaja, kat3jbni!	
64	wayeh, ghandir hadchi tahoa	
65	hi 9bl manmchi nn3ess	
66	3afak 7tarem l9awa3id	
67	ana mt2ekked ghat7essen 9ariban	
68	kimma 9tar7ti	
69	asaasan nta t7t DDaghT daba	
70	hadchi tayo93 l 3adaad mn nnas had lyamat	
71	fnfs lwe9t ma3ndkch mochkil fdmaghk	
72	kimma katgoul	
73	ah, chokran bzzaf 3la nnaSi7a dyalk.	
74	tanDenn anna hadchi i9dr ikon 7ell	
75	olla 3ll a9all khTwa fl ittija8 SSa7i7	
76	kan3tader	
77	makan3rfoch 3lihom bzzaf	
78	wach kaynin modirat khrin fnfs lmostawa dyal8a	
79	wach kat3rfi nas imkn t8Dri m3ahom bso8oula	
80	kangoul ah	
81	wayeeh, bzzaf dyal nnas	
82	7na chi 50	
83	knna chi 3chrin wa7d	
84	imken chi wahd fihoum	
85	m39oula	
86	walakin ana ma3ndi tta 7aja n7tafl biha	
87	ana rah ghir wa7d mn lkhddama	
88	mttaf9 m3ak	
89	ala kan chi wahd mn lfr9a 3ndo chi haja maygoul	
90	imkn lik t9tar7ha f w9itt lghda	
91	hadi Tari9a ra2i3a bach t7ssen l3ala9at tlkhdma	
92	walakin hia matatchrebch l98wa, o matatkmich, dakchi 3lach katgles fl biro.	biro
93	7chouma	
94	ala 3ndna sabab m39oul bach n8Dro m3aha, hia rah dima msta3dda t8Der.	
95	7rfyyan, lbab dyalo msdoud	
96	ach ballik?	
97	wa7d olla joj mnnkom i9dr ina9ch m3aha had lms2ala	
98	ma3ndhach ti9a kafia fl fer9a	
99	Safi, daba n7awel nna9ch8a bla man3yye9	
100	tayban lik khess nchedd 3oTla?	
101	momkin n9tar7 3lik t8Der m3a nnas lli khddamin m3ak	
102	ach ghandir?	
103	hadchi 3adi w tta haja makat9elle9	
104	DDaghT blfi3l 2etter 3la l7ala l3aTifia l3amma dyalk	
105	Safi, fhmtek.	
106	ah, ghaaliban	
107	ah walakin tterjama kant ghalTa	
108	wach kayballik anna8a hia t7t DDaghT mn lmoudir dyalha?	
109	kay3jbni bzzaf.	
110	imkn hia dima khayfa mat7e99e9ch l a8daf dyalha.	
111	wach nnas lli khddamin m3ak tay7sso bttawttor b7alek?	
112	chef dyalk mra olla rajl?	
113	tayballia 7na kollna mstressyin w fnfs lw9t kollna tat3jebna.	
114	mra, tayballia	
115	gltha lik, rah mra.	
116	zwina bzzaf	
117	walakin lmola7aDat dyalo dima mberrerin.	
118	fach tankon m3TTel chwia olla matandirch chi haja bghat8a	
119	799e9t l a8daf dyali.	
120	tankhdm bzzaf, dakchi lli taykhllini ndir khdmti mzyan.	
121	gollia, wach nta 9add tdir khdmtk bkoll ti9a?	
122	wach kat7ess brask ma9addch tossel l a8daf lli 3wwlti 3liha?	
123	tan8Der 3la lmoudir dyal lmSla7a dyali	
124	ah, kayna.	
125	makattsame7ch m3a lbsala	
126	ayeh amoulay	
127	wach kaynin chi 3yalat dayrin bik lli S3ib 3lik tt3aml m3ahom?	
128	flkhdma dyalk olla 3la brra	
129	ah, fhemtek.	
130	lla, tta haja maghriba, fnaDari.	
131	wach dwwzti chi tajarib ma3adyyach olla fchkel mo2kharan?	
132	chi 7wayj lli kat7ess i9dr ikono bsbab chi haja drtiha	
133	Tab3an lla.	
134	kayballik ana kan7ma9?	
135	lla, tta wahd makan3arfo.	
136	khtek, lwalida dyalk, chi Sadi9?	
137	t9der tjbed chi wahd kat3arfo?	
138	dima nefs SSout?	
139	ghaliban, bach inta9doni	
140	Sout dyal l3yalat hoa li mrra mrra kay3elle9 3la dakchi lli kandir.	
141	chi ch8oura hado, b3d lmrrat kan7ess b7al ala kansme3 chi Sout kayhder fost rasi	
142	ana 8na bach nchoufk 7it makanf8emch ach kayo93 lia	
143	kifach n9der n3awnek?	
144	kanDenn hadi awwal mrra kantla9aw.	
145	bslama	
146	3awd douz ala ba9i 3ndk chi as2ila.	
147	mr7ba.	
148	daba nSiftha lik o9tmma kmlat.	
149	Layesser.	
150	naDi.	
151	kanwa3dek.	
152	walakin khssk t7tarm had lw9t jjdid	
153	wach momkin lik tzidni chwia tlwe9t, goul chi joj simanat hakkak?	simanat
154	2000 klma	
155	ch7al mn klma fchi f9ra Sghira?	
156	hadchi SSara7a kay3awnni nfkker f ach khssni nkteb, lay7fdek	
157	ach w9e3 fdak lwe9t?	
158	wach n9ddem lma9al 3la annaho waa9i3i olla nakhod wij8at naDar siyasia?	
159	hadchi tayban mo8imm.	
160	yallah cheft ttarikh f Google	
161	ah, wakha.	
162	idan awwal haja ddirha hia tkhtar	
163	hadi t9dr tkon taarikhia	
164	tansm3o 3lih bzzaf daba	
165	walakin rah kaynin 3rram tlkhtyarat lli tkhtar mnnhom.	
166	khssk tbda b3da tsowwel 3lih	
167	fsser o 3erref lmaydan	
168	nta li khssek t3errfo.	
169	wach tan8Dro 3la ssyasa lbriTania ola lfransawia?	
170	ttgal lia nkteb wahd lma9al 3la ssyasa walakin ma3rftch mnin nbda	
171	momkin tchre7 chno lli mafhemtich?	
172	ttgal lia annaho maymknch nSoug	
173	ghankhdmo mjmou3in	
174	Safi, chi bas makayn	
175	wa tkerfeSt blm39oul bach nfhem ach khssni ndir	
176	salam, sme7 lia 3TTelt tamarin dyali	
177	kmmel khessni nmchi daba.	
178	ba9i l7al!	
179	Oh, tayballia DDyaf llowlin jayyin	
180	ayeh amoulay.	
181	kon hani, walakin ti99en annak 3arf chno kayn ghedda	
182	ah, ssmou7at.	
183	ghaykhssek t3ref lkouzina mzyan olla ghat3TTlna kamlin	lkouzina
184	kayballia hadi hia lmerra llowla li khddmna fiha had ll3iba	
185	ana ma3arefch lblasa dyal ga3 lma9adir 7ttal daba	
186	a7, smou7at	
187	ma9dertch nl9ah!	
188	wakha amoulay, makaynch lmouchkil.	
189	S7ablik salina	
190	n9der n9echcher bTaTa.	
191	kayjib lia jjou3!	
192	ra2i3.	
193	ghanmchi l Tanja	
194	ach ballik flakhor?	
195	hadchi kayban mzyan.	
196	3afak matnsach tn99i lblaSa mora matsali	
197	makayn bas	
198	ghanbda bl bsbas, kayakhod lwe9t	
199	allah ir7m lik lwalidin	
200	lah ikhelli lik ma3zz 3lik	
201	llah i3awnek	
202	ah, makayn tta mochkil.	
203	wakha tbda t9TTe3 lkhDra 3afak	
204	ana bikhir.	
205	homa mkhtalfin fl9edd o flloun o flmada9	
