id	darija	loan_words_list
2577	ana 3aref bli rah l PC kayn m3ak hwa mazyan bzef	PC
2812	piscine chamch o tta haja khra	piscine
2824	ah walakin zwin mara mara tglss fchi blassa trta7	blassa
2835	ach ban lik ila 7atina rwayd dyal namosiya dyalk o ana ndaf3k fga3 nawa7i dyal lmadina	rwayd
3018	wach khda lwa9t flkhar bach itsajal f la salle	salle
3022	masma3tch 3la lkhota dyal lmatch	lmatch
3068	ola hado homa sta dyal l7lawi sghira blfosta9 ali khditha man snack	snack
3155	ah hadi mo2amara kaydiroha charikat dyal biskwit	biskwit
3276	7it 3aych f parTma ghadi ykon khayb ikon 3ndi chi wa7d 7it maghadich il9a fin ikhrj	parTma
3322	3ndna blan	blan
3367	o kant chta dakchi bach fzgt w ana kanjri l train	train
3522	olla 7alwa dyal choklat	choklat
3628	had ascenseur kaykhsr bzaf o l alarm makaykhdamch	ascenseur, alarm
3852	wach kadan bila flmosta9bal maghadich y7tajo l atfal yt3almo ykatbo b stylowat o ghadi ysta3mo PC blasto	stylowat, PC
3877	intaj PC o IPad ta8oa molawit bzaf	PC
3879	3lach intaj tomobilat molawit bzaf	tomobilat
4091	ah idan nti kat3ichi f parTma flwa9t l7ali	parTma
4208	chi bwaTa dyal choklat b l7lib o ljara2id dyal nhar l7ad	bwaTa, choklat
4446	3ndi chi swy3at ndwzhom 9bal manakhad train	train
4464	kan9dr nsma3 sffara dyal train dakchi 3lach khasni njri	train
4489	m3ndkch forSa bach takhod kridi mn chi mo2sasa khayria	kridi
4680	kifach ghan3ref tabla li ngls fiha	tabla
4699	mli 9alti tabla 3adia knt kandan wach knt gals f tabla dyal chi whad akhor	tabla, tabla
5138	sikritira mriDa lyoum	sikritira
5147	n9dr n3yt lihom o nkhaliwhom ys7ab lihom bila ana sikritira dyalk	sikritira
5161	rah 3ndi PC dyali f chkarti	PC
5165	ghadi nl9aw nwamr8om f PC dyali matkhafch	PC
5173	rah yalah khwa mn la charge	charge
5224	kanDn ba9i 3ndi chwiya dyal lma dafi f saki	saki
5329	wach n9ad lik choklat skhon	choklat
5356	ah kanswel wach momkin nrmiw mn blassa 9riba	blassa
5625	3ndi chwiya dya biskwit	biskwit
5648	ma3ndi tta chi batri	batri
5667	bach njik dirikt	dirikt
5798	f7alat w9f l'ascenseur bin les etages	ascenseur, etages
5850	chkon likan kay3raf bli l ascenseur ikhsar i9dr tkon chi haja mzyana	ascenseur
6022	wach bghiti chi sandwich	sandwich
6088	salat liya charge lil2asaf	charge
6117	3andi 7ta chwiya dyal biskwit dyal choklat ba9i	biskwit, choklat
6150	ila jabti liya sandwich ghadi nl3ab m3ak lo3ba mn b3d	sandwich
6155	hahoa sandwich dyalk	sandwich
6159	o ana kan9ad sandwich khdit wa7d ta ana	sandwich
